x-coords,y-coords,contactAngle
1849,3735,1.8868689802952023
2500,645,1.8025417153340402
2506,645,1.798290741480437
2509,646,1.7969097103144804
2517,646,1.7989995296139332
2518,646,1.7984197649829319
2519,646,1.799363007708921
2520,646,1.8003726566942462
2521,646,1.8004479197340821
2522,646,1.7972989360204752
2523,647,1.798005677289373
2524,647,1.799822981393816
2525,647,1.7988477316444178
2526,647,1.7994939044182177
2527,647,1.7981606423776657
2528,647,1.7977499321702393
2529,647,1.798021109791286
2530,647,1.7970571595943077
2531,647,1.7955052125677788
2532,647,1.7962186307294086
2533,647,1.7965846312342693
2534,648,1.796939056990712
2535,648,1.7969166670835757
2536,648,1.797157840199789
2538,648,1.797405581186195
2547,648,1.796639405840909
2556,649,1.797901984519861
2558,649,1.7967924501237058
2566,650,1.7987819044817908
2571,650,1.7947106839786002
2584,652,1.795082576535133
2594,653,1.7948959910005786
2595,653,1.7953541472911994
2596,653,1.7968032840296284
2597,653,1.7956750901873333
2598,653,1.7929874300404627
2599,653,1.7930115911297202
2600,653,1.7932683583886488
2601,653,1.7914826564666961
2602,653,1.7911121885852204
2603,653,1.791804002255961
2604,654,1.7927143018919687
2605,654,1.7923741992305036
2606,654,1.7926439891000991
2607,654,1.794212375569776
2608,654,1.7942122138657646
2609,654,1.7938457498524818
2610,654,1.7926118059845453
2611,654,1.7900096590705492
2612,654,1.789788301054362
2613,654,1.7909915003790142
2615,655,1.7901563591133953
2614,655,1.789762310239394
2625,656,1.7891801517590462
2629,656,1.7902905265366704
2638,658,1.7867669996433886
2646,659,1.7870682007833945
2654,660,1.7839812160788862
2662,661,1.7832870392541582
2668,662,1.7825745860723778
2674,663,1.78113355270456
2679,664,1.7814827580959485
2686,665,1.778778479064978
2691,666,1.7774991487143723
2698,667,1.7779774506230448
2705,668,1.7774165604421122
2710,669,1.7793948548275185
2712,670,1.7777978249650521
2718,671,1.7782735185385845
2720,671,1.77818679375905
2725,672,1.7758429919762164
2731,673,1.778603469179569
2734,674,1.7789568740577932
2740,675,1.775852890558047
2741,675,1.776798222741254
2748,677,1.7798190459260192
2750,677,1.7770227186746177
2753,678,1.7761815391414264
2755,678,1.7773594179385837
2764,681,1.777333461567078
2767,681,1.7757025725055844
2771,682,1.7750859409225668
2776,683,1.7757074131990755
2783,685,1.7777722715509763
2784,686,1.776616267229133
2791,687,1.7771084998283033
2792,688,1.7783881876633942
2797,689,1.7759658915122492
2799,690,1.7749925120306613
2804,691,1.7765051175836701
2807,692,1.7732375967137757
2810,693,1.7769397288361042
2813,693,1.7767747216205698
2817,695,1.7787572207287738
2824,697,1.7727324368012642
2827,698,1.7742400974580153
2829,698,1.7747707763852625
2834,700,1.7729712305158332
2837,701,1.7735948057713289
2842,702,1.7750349262775347
2842,702,1.7750349262775347
2847,704,1.775681323136752
2847,704,1.775681323136752
2853,706,1.7741936797613616
2854,706,1.7761194647229899
2858,707,1.7729449838754299
2859,707,1.7715316601526807
2865,709,1.774972776770647
2866,710,1.7758356183088826
2870,711,1.772422479815591
2872,711,1.7720054701088668
2876,713,1.774531741261126
2880,714,1.7747076954506107
2884,715,1.7726024351031036
2884,715,1.7737741357462475
2888,717,1.7739401912818502
2890,717,1.7733530264916577
2894,719,1.7735866953027575
2895,719,1.7741622541508837
2900,721,1.7803833573319823
2901,721,1.7732167304666382
2906,723,1.7729371833717817
2906,723,1.7729371833717817
2910,724,1.7736649218444565
2914,726,1.7718519942907038
2918,727,1.771542219931181
2920,728,1.7755106382798402
2925,729,1.76936402121797
2926,730,1.7701583389947846
2932,732,1.7694379579646782
2932,732,1.7694379579646782
2936,733,1.7698621968815493
2939,734,1.7693445380374706
2943,736,1.7687968366590447
2944,736,1.7695281116201165
2949,738,1.7693096717690249
2950,738,1.7699486900809922
2952,739,1.768190919140166
2954,740,1.7679778332704668
2959,742,1.7655330952863828
2960,742,1.767266686141979
2964,744,1.768335590113472
2966,744,1.7664866619405701
2969,745,1.764856529233727
2970,746,1.7661788189521825
2974,747,1.766443121194801
2975,748,1.7668196294012615
2979,749,1.7683168549313852
2979,749,1.7683168549313852
2984,751,1.762422803958044
2986,752,1.7649726973652269
2987,752,1.765876513125128
2988,753,1.768557047064321
2992,754,1.7633933425702144
2995,755,1.7644309445082111
3000,757,1.7652169890401264
3000,757,1.7652169890401264
3008,761,1.7651496773703534
3008,761,1.7651496773703534
3009,761,1.7649224916937878
3012,762,1.7635981938986447
3015,764,1.7622783980183034
3018,765,1.7637647028402363
3019,765,1.7617137027983643
3022,767,1.7634352343267985
3024,768,1.7634967950731602
3026,768,1.7635430281687154
3030,770,1.7631468233677339
3030,770,1.7631468233677339
3033,772,1.7639958989419149
3034,772,1.7656903450860852
3036,773,1.7617975215975827
3039,774,1.7612059904953286
3042,776,1.761014818482286
3042,776,1.761014818482286
3046,777,1.7590402212461098
3048,778,1.760511783869882
3050,779,1.7609021138931331
3052,780,1.7598178004809004
3054,781,1.7615598533551742
3055,782,1.764006666364219
3058,783,1.7605879839179255
3060,784,1.7598180370783492
3061,784,1.7604704447964497
3063,785,1.7629184191618084
3066,787,1.760502271709272
3066,787,1.760502271709272
3070,789,1.7607593425625057
3071,789,1.758434336656959
3075,791,1.7607253632133975
3076,792,1.763423229567368
3078,793,1.763255081939406
3080,794,1.7633685270829274
3082,795,1.7658716979213014
3084,796,1.7661351636658775
3088,798,1.7666914540918697
3088,798,1.7666914540918697
3090,799,1.7657910654905171
3091,799,1.7593113229622477
3094,801,1.7611220699147498
3096,802,1.7636594960648335
3098,803,1.7616390872667353
3100,804,1.7634972793701953
3103,805,1.7598689813530928
3104,806,1.759996576705697
3106,807,1.7626931927791374
3107,808,1.7644746261245363
3110,809,1.7604394157271699
3112,810,1.7594323903737679
3114,811,1.7619587188858297
3116,812,1.7636849564599741
3119,814,1.7624708244952016
3120,814,1.7647210058086247
3121,815,1.7632433644406307
3123,816,1.7625302800564209
3124,816,1.7634312965166943
3127,818,1.7619162435154698
3131,820,1.7601749382415735
3130,820,1.7623580469056133
3132,821,1.7600653156609756
3135,822,1.7621089378069812
3136,823,1.7596630100116353
3139,824,1.7594936901306983
3140,825,1.7593418067731539
3142,826,1.7592211790072085
3144,827,1.7613249423887851
3146,828,1.7616143342900765
3148,829,1.7619818946286046
3149,830,1.7610890578904372
3152,831,1.7589482430306729
3152,831,1.7589482430306729
3154,833,1.7616270497835556
3155,833,1.7632290039266845
3160,836,1.7635069779213068
3161,836,1.7599139783061215
3162,837,1.7605405398679856
3164,838,1.759776666641262
3166,839,1.759801602438008
3166,839,1.759801602438008
3169,841,1.7601209052156357
3170,842,1.7607104583937008
3173,843,1.7556397176636411
3173,843,1.755537168461321
3177,846,1.7591731703667322
3178,846,1.7583341015718514
3180,847,1.7566238804977954
3180,847,1.7566238804977954
3184,850,1.7588418238135175
3185,850,1.7559327505859617
3188,852,1.7567760598003306
3188,852,1.7567760598003306
3192,854,1.7600605306374701
3192,854,1.7600605306374693
3194,855,1.7574977409170427
3196,857,1.76138006873426
3196,857,1.761380068734258
3197,857,1.7575248664084644
3201,859,1.7570847689529727
3202,860,1.760372307383777
3202,860,1.760372307383777
3205,862,1.7539180857436385
3206,862,1.7543490508985318
3208,864,1.7578537040532403
3210,865,1.7586130378604234
3211,865,1.7582897384249867
3214,867,1.758054207025756
3214,867,1.7580542070257574
3218,870,1.758856340278213
3218,869,1.7555248279217541
3221,871,1.7554297607161933
3221,871,1.7554297607161933
3222,872,1.7572948926714689
3226,874,1.7576928484826813
3227,875,1.7588958432402126
3227,875,1.7588958432402126
3230,877,1.7600094535896036
3231,877,1.753005846424318
3234,879,1.754247901657884
3236,881,1.7552537174118483
3236,881,1.7552537174118483
3240,883,1.7542410041317231
3242,884,1.7546705292030784
3242,884,1.7546705292030784
3245,886,1.757561432807402
3246,887,1.7557057534167555
3248,888,1.75763237913596
3248,888,1.75763237913596
3249,889,1.7554628413411828
3250,889,1.7517787267202196
3254,892,1.7549784143535927
3254,892,1.7549784143535927
3256,893,1.7529523283570665
3257,894,1.7554033382505174
3258,895,1.755314479286373
3260,896,1.7537283591375596
3260,896,1.7537283591375596
3263,898,1.7525270700219802
3266,900,1.7509973010417148
3266,900,1.7509973010417157
3270,903,1.752850208669818
3270,903,1.752850208669818
3271,903,1.7501432318867816
3272,904,1.749652878641948
3274,906,1.7511028153386345
3274,906,1.7511028153386345
3276,907,1.7518959823097138
3277,908,1.7525380975876743
3278,908,1.7506769999597716
3279,909,1.7524320108376157
3282,911,1.7557110220840275
3283,912,1.7538321371087195
3285,913,1.748268734733861
3285,913,1.7482687347338624
3288,915,1.7488270421001466
3289,916,1.7523103118504813
3290,916,1.7497216425388853
3291,917,1.7518355566600643
3294,919,1.7521051701905113
3295,920,1.7519503443834719
3296,921,1.7541194845661792
3298,922,1.7511854264935733
3299,923,1.7510796571478866
3300,923,1.7527203424358566
3302,925,1.75242633490042
3302,925,1.75242633490042
3304,926,1.7482349815040201
3306,928,1.7497167398259212
3306,928,1.7497167398259212
3308,929,1.7476398010512526
3311,931,1.7472102838990695
3312,932,1.7460160018751363
3314,933,1.7453129091602688
3315,934,1.7460529931160065
3316,934,1.7462017429139212
3317,935,1.745140546286431
3320,937,1.7442772489822098
3321,938,1.7469034602828757
3324,940,1.7482355000726937
3325,941,1.7463385504979465
3327,942,1.74636060444266
3327,942,1.74636060444266
3329,943,1.7444648489910515
3331,945,1.7483290184202687
3333,946,1.7442335250941234
3334,947,1.7497004524781916
3336,948,1.742755547471173
3337,949,1.747517027147898
3338,950,1.7460662592472325
3339,950,1.7441851210448636
3341,952,1.747497403141867
3342,953,1.7498346889720278
3342,953,1.7498346889720278
3344,954,1.7460877444696297
3346,955,1.7401483615401416
3346,955,1.7418364402695024
3347,956,1.7424308912235134
3349,958,1.744859841178801
3352,960,1.7439170042743388
3352,960,1.7422969536511843
3354,961,1.7442979108487415
3355,962,1.7430504620902858
3356,963,1.7435344556333092
3358,964,1.7461839154666559
3359,965,1.7437930114717664
3359,965,1.7437930114717664
3360,966,1.7421966328674203
3362,967,1.7394063902156722
3364,969,1.7483772117953442
3365,970,1.7467085486558285
3368,972,1.7431314104698432
3368,972,1.7431314104698432
